"currently_testing","site","water_body","borough_state","neighborhood_town","latitude","longitude","last_sampled","district_council_number","x2021_lab_analysis_by"
true,"Hudson River, Pier 99 Boat Ramp","Hudson River","Manhattan","Upper West Side",40.7735219,-73.993778,2019,"3",
false,"Hudson River, Pier I/70th Street","Hudson River","Manhattan","Upper West Side",40.7799272,-73.989316,2017,"6",
true,"Hudson River, Weehawken Cove","Hudson River","New Jersey","Hoboken",40.7553196,-74.026094,2022,"N/A","Hudson River Park's River Project"
false,"Hudson River, West 100th Street","Hudson River","Manhattan","Bloomingdale",40.799369,-73.975795,2016,"6",
false,"Hudson River, West 129th Street (St. Clair Place)","Hudson River","Manhattan","Morningside Heights",40.818007,-73.962128,2013,"7",
false,"Hudson River, West 133rd Street/Piers Park Kayak Dock","Hudson River","Manhattan","West Harlem",40.8206007,-73.959577,2019,"7",
false,"Hudson River, West 145th Street","Hudson River","Manhattan","Hamilton Heights",40.8283762,-73.954165,2020,"7",
false,"Hudson River, West 154th Street","Hudson River","Manhattan","Hamilton Heights",40.832214,-73.951485,2015,"7",
true,"Hudson River, West 170th St. (Riverside Park)","Hudson River","Manhattan","Washington Heights",40.846403,-73.9463675,2022,"10",
false,"Hudson River, West 172nd Street","Hudson River","Manhattan","Washington Heights",40.8461433,-73.9464,2020,"10",
false,"Hudson River, West 72nd Street Kayak Launch","Hudson River","Manhattan","Upper West Side",40.781422,-73.98835,2018,"6",
false,"Hudson River, West 79th Street Boat Basin","Hudson River","Manhattan","Upper West Side",40.7859195,-73.985227,2011,"6",
true,"Hudson River, Yonkers Paddling and Rowing Club","Hudson River","Yonkers","Getty Square",40.9379388,-73.903492,2022,"N/A","Sarah Lawrence Center for the Urban River at Beczak"
false,"Hutchinson River, Amtrak Bridge","Hutchinson River","Bronx","Baychester",40.8634849,-73.820186,2018,"12",
false,"Jamaica Bay, Canarsie Pier","Jamaica Bay","Brooklyn","Canarsie",40.6278942,-73.8837,2018,"46",
false,"Jamaica Bay, Gerritsen Creek Kayak Launch (Marine Park Salt Marsh)","Jamaica Bay","Brooklyn","Gerritsen Beach",40.602409,-73.931716,2021,"46","Interstate Environmental Commission"
true,"Jamaica Bay, Paerdegat Basin (Sebago Canoe Club)","Jamaica Bay","Brooklyn","Canarsie",40.6264122,-73.904386,2022,"46","Interstate Environmental Commission"
false,"Jamaica Bay, Plumb Beach","Jamaica Bay","Brooklyn","Gerritsen Beach",40.5824832,-73.920157,2018,"46",
true,"Kissena Lake","Lake","Queens","Flushing",40.74727,-73.80655,2022,"20",
true,"Little Neck Bay","Little Neck Bay","Queens","Bay Terrace",40.7801708,-73.768804,2022,"19","Queens College"
