currently_testing,site,water_body,borough_state,neighborhood_town,latitude,longitude,last_sampled,district_council_number,2021_lab_analysis_by:,closest_tide_area,closest_tide_Name,closest_tide_Id,closest_tide_Lat,closest_tide_Lon,closest_tide_Predictions,closest_tide_dist
TRUE,"Hudson River, Pier 26",Hudson River,Manhattan,Tribeca,40.7215745,-74.013557,2022,1,Hudson River Park's River Project,New York Harbor,NEW YORK (The Battery),8518750,40.7006,-74.0142,Harmonic,2.332887602950549
TRUE,"Hudson River, Pier 40",Hudson River,Manhattan,West Village,40.728249,-74.013786,2022,3,Hudson River Park's River Project,New York Harbor,NEW YORK (The Battery),8518750,40.7006,-74.0142,Harmonic,3.0746265273542135
TRUE,"Hudson River, Pier 66",Hudson River,Manhattan,Hudson Yards,40.752502,-74.00898,2022,3,Hudson River Park's River Project,Hudson River,"Weehawken, Union City, N.J.",8530645,40.765,-74.0183,Subordinate,1.5960931623493928
TRUE,"Hudson River, Pier 84",Hudson River,Manhattan,Hell's Kitchen,40.764275,-74.002129,2023,3,Hudson River Park's River Project,Hudson River,"Weehawken, Union City, N.J.",8530645,40.765,-74.0183,Subordinate,1.3642867215891286
TRUE,"Hudson River, Pier 96",Hudson River,Manhattan,Hell's Kitchen,40.771322,-73.995991,2023,3,Hudson River Park's River Project,Hudson River,"Weehawken, Union City, N.J.",8530645,40.765,-74.0183,Subordinate,2.005948885619446
TRUE,"Hudson River, Pier 99 Boat Ramp",Hudson River,Manhattan,Upper West Side,40.7735219,-73.993778,2019,3,NA,Hudson River,"Weehawken, Union City, N.J.",8530645,40.765,-74.0183,Subordinate,2.272101977663229
FALSE,"Hudson River, Pier I/70th Street",Hudson River,Manhattan,Upper West Side,40.7799272,-73.989316,2017,6,NA,Hudson River,"Weehawken, Union City, N.J.",8530645,40.765,-74.0183,Subordinate,2.9516272689956726
TRUE,"Hudson River, Weehawken Cove",Hudson River,New Jersey,Hoboken,40.7553196,-74.026094,2022,N/A,Hudson River Park's River Project,Hudson River,"Weehawken, Union City, N.J.",8530645,40.765,-74.0183,Subordinate,1.260786487596868
FALSE,"Hudson River, West 100th Street",Hudson River,Manhattan,Bloomingdale,40.799369,-73.975795,2016,6,NA,Hudson River,"Edgewater, N.J.",8530505,40.8133,-73.9783,Subordinate,1.563338681553457
FALSE,"Hudson River, West 129th Street (St. Clair Place)",Hudson River,Manhattan,Morningside Heights,40.818007,-73.962128,2013,7,NA,Hudson River,"Edgewater, N.J.",8530505,40.8133,-73.9783,Subordinate,1.4581159971630933
