"site","date","year","month","high_tide","sample_time","bacteria","precip_wk","precip_t0","precip_t1","precip_t2","precip_t3","precip_t4","precip_t5","precip_t6","notes","quality"
"Hudson River, Pier 40",2012-05-31,2012,5,2012-05-31 04:31:00.000000-0400,2012-05-31 12:06:00.000000-0400,10,0.3,0,0.01,0.21,0,0.06,0.02,0,"","Good"
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",2012-05-31,2012,5,2012-05-31 04:31:00.000000-0400,2012-05-31 09:11:00.000000-0400,10,0.3,0,0.01,0.21,0,0.06,0.02,0,"","Good"
"East River, Pier 1 ",2012-05-31,2012,5,2012-05-31 04:31:00.000000-0400,2012-05-31 08:38:00.000000-0400,10,0.3,0,0.01,0.21,0,0.06,0.02,0,"","Good"
"Upper Harbor, 69th Street Pier",2012-05-31,2012,5,2012-05-31 04:31:00.000000-0400,2012-05-31 07:15:00.000000-0400,10,0.3,0,0.01,0.21,0,0.06,0.02,0,"","Good"
"Hudson River, Yonkers Paddling and Rowing Club",2012-05-31,2012,5,2012-05-31 04:31:00.000000-0400,2012-05-31 10:20:00.000000-0400,20,0.3,0,0.01,0.21,0,0.06,0.02,0,"","Good"
"Hudson River, West 72nd Street Kayak Launch",2012-05-31,2012,5,2012-05-31 04:31:00.000000-0400,2012-05-31 07:33:00.000000-0400,20,0.3,0,0.01,0.21,0,0.06,0.02,0,"","Good"
"Hudson River, Pier 66",2012-05-31,2012,5,2012-05-31 04:31:00.000000-0400,2012-05-31 09:08:00.000000-0400,41,0.3,0,0.01,0.21,0,0.06,0.02,0,"","Fair"
"Buttermilk Channel, Valentino Pier",2012-05-31,2012,5,2012-05-31 04:31:00.000000-0400,2012-05-31 08:15:00.000000-0400,75,0.3,0,0.01,0.21,0,0.06,0.02,0,"","Fair"
"Hudson River, JFK Marina",2012-05-31,2012,5,2012-05-31 04:31:00.000000-0400,2012-05-31 09:52:00.000000-0400,146,0.3,0,0.01,0.21,0,0.06,0.02,0,"","Unacceptable"
"Newtown Creek, Dutch Kills ",2012-05-31,2012,5,2012-05-31 04:31:00.000000-0400,2012-05-31 14:15:00.000000-0400,171,0.3,0,0.01,0.21,0,0.06,0.02,0,"","Unacceptable"
"Gowanus Canal, Second Street Sponge Park",2012-05-31,2012,5,2012-05-31 04:31:00.000000-0400,2012-05-31 08:30:00.000000-0400,816,0.3,0,0.01,0.21,0,0.06,0.02,0,"","Unacceptable"
"Flushing Bay, World's Fair Marina Pier 1 East",2012-05-31,2012,5,2012-05-31 04:31:00.000000-0400,2012-05-31 10:51:00.000000-0400,0,0.3,0,0.01,0.21,0,0.06,0.02,0,"","Not Detected"
"East River, Hallets Cove",2012-05-31,2012,5,2012-05-31 04:31:00.000000-0400,2012-05-31 10:00:00.000000-0400,0,0.3,0,0.01,0.21,0,0.06,0.02,0,"","Not Detected"
"East River, Pier 42/Jackson Street",2012-05-31,2012,5,2012-05-31 04:31:00.000000-0400,2012-05-31 09:00:00.000000-0400,0,0.3,0,0.01,0.21,0,0.06,0.02,0,"","Not Detected"
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",2012-06-07,2012,6,2012-06-07 11:33:00.000000-0400,2012-06-07 09:30:00.000000-0400,10,0.86,0.01,0.01,0.01,0.18,0.01,0.39,0.25,"","Good"
"East River, Pier 1 ",2012-06-07,2012,6,2012-06-07 11:33:00.000000-0400,2012-06-07 08:45:00.000000-0400,10,0.86,0.01,0.01,0.01,0.18,0.01,0.39,0.25,"","Good"
"Raritan Bay, South Beach",2012-06-07,2012,6,2012-06-07 11:33:00.000000-0400,2012-06-07 10:20:00.000000-0400,20,0.86,0.01,0.01,0.01,0.18,0.01,0.39,0.25,"","Good"
"East River, Pier 42/Jackson Street",2012-06-07,2012,6,2012-06-07 11:33:00.000000-0400,2012-06-07 08:45:00.000000-0400,30,0.86,0.01,0.01,0.01,0.18,0.01,0.39,0.25,"","Good"
"Upper Harbor, 69th Street Pier",2012-06-07,2012,6,2012-06-07 11:33:00.000000-0400,2012-06-07 07:10:00.000000-0400,30,0.86,0.01,0.01,0.01,0.18,0.01,0.39,0.25,"","Good"
"Hudson River, West 72nd Street Kayak Launch",2012-06-07,2012,6,2012-06-07 11:33:00.000000-0400,2012-06-07 06:40:00.000000-0400,74,0.86,0.01,0.01,0.01,0.18,0.01,0.39,0.25,"","Fair"
"East River, Hallets Cove",2012-06-07,2012,6,2012-06-07 11:33:00.000000-0400,2012-06-07 15:20:00.000000-0400,201,0.86,0.01,0.01,0.01,0.18,0.01,0.39,0.25,"","Unacceptable"
"Flushing Bay, World's Fair Marina Pier 1 East",2012-06-07,2012,6,2012-06-07 11:33:00.000000-0400,2012-06-07 10:39:00.000000-0400,272,0.86,0.01,0.01,0.01,0.18,0.01,0.39,0.25,"","Unacceptable"
